SKU;Nombre;Codigo_Barras;Referencia;Categoria;Marca;Unidad_Medida;Bodega;Costo_Unitario;Precio_Venta;Precio_2;Tipo_IVA;Stock_Inicial;Stock_Minimo;Punto_Reorden;Ubicacion;Maneja_Lotes;Numero_Lote;Fecha_Vencimiento;Descripcion
LOT-158-1;Sonajero Mordedor;;LOT-158-1;Juguetería Bebé;Genérica;UND;Bodega Principal;5500;10000;0;EXCLUIDO;2;1;2;;NO;;;Sonajero y mordedor para bebé
6018-SONA;Sonajero Clásico Bebé;;6018 SONA;Juguetería Bebé;Genérica;UND;Bodega Principal;5900;11000;0;EXCLUIDO;2;1;2;;NO;;;Sonajero clásico para estimulación de bebé
KD225-82;Sonajero Especial KD;;KD225-82;Juguetería Bebé;Genérica;UND;Bodega Principal;16900;22000;0;EXCLUIDO;1;1;2;;NO;;;Sonajero infantil modelo KD225-82
PRI-006;Reductor de Baño Praktiplas;;PRI-006;Accesorios Bebé;Praktiplas;UND;Bodega Principal;18000;33000;0;EXCLUIDO;1;1;2;;NO;;;Asiento reductor para baño infantil
YB-009;Termómetro Digital Infantil;;YB-009;Cuidado Bebé;Genérica;UND;Bodega Principal;3900;8000;0;EXCLUIDO;2;1;2;;NO;;;Termómetro digital para toma de temperatura
201564;Colonia Arrurrú x 220ml Azul;;201564;Cuidado Bebé;Arrurrú;UND;Bodega Principal;30000;35000;0;EXCLUIDO;1;1;2;;NO;;;Colonia suave para bebé fragancia azul 220ml
683834;Colonia Arrurrú x 220ml Rosa;;683834;Cuidado Bebé;Arrurrú;UND;Bodega Principal;30000;35000;0;EXCLUIDO;1;1;2;;NO;;;Colonia suave para bebé fragancia rosa 220ml
870713;Baño Líquido Johnson Antes de Dormir;;870713;Cuidado Bebé;Johnson's;UND;Bodega Principal;32000;38000;0;EXCLUIDO;1;1;2;;NO;;;Baño líquido para antes de dormir suave
036746;Crema Johnson x 200ml Antes de Dormir;;036746;Cuidado Bebé;Johnson's;UND;Bodega Principal;19400;23000;0;EXCLUIDO;1;1;2;;NO;;;Crema líquida relajante para antes de dormir 200ml
229193;Aceite Arrurrú Original;;229193;Cuidado Bebé;Arrurrú;UND;Bodega Principal;19000;23000;0;EXCLUIDO;1;1;2;;NO;;;Aceite corporal para bebé con extractos naturales
927334;Crema Johnson x 800ml Original;;927334;Cuidado Bebé;Johnson's;UND;Bodega Principal;41100;50000;0;EXCLUIDO;1;1;2;;NO;;;Crema líquida hidratante original 800ml
318484;Crema Johnson x 800ml Avena;;318484;Cuidado Bebé;Johnson's;UND;Bodega Principal;43000;50000;0;EXCLUIDO;1;1;2;;NO;;;Crema líquida nutritiva con avena 800ml
389521;Baño Líquido Arrurrú Original;;389521;Cuidado Bebé;Arrurrú;UND;Bodega Principal;18400;23000;0;EXCLUIDO;1;1;2;;NO;;;Baño líquido para cuerpo y cabello original
675488;Shampoo Arrurrú Original x 220ml;;675488;Cuidado Bebé;Arrurrú;UND;Bodega Principal;16000;20000;0;EXCLUIDO;1;1;2;;NO;;;Shampoo suave original para bebé 220ml
060571;Crema Almipro Emoliente Grande;;060571;Dermatológico;Almipro;UND;Bodega Principal;27600;34000;0;EXCLUIDO;1;1;2;;NO;;;Crema emoliente protectora para la piel
588495;Baño Líquido Almipro x 400ml;;588495;Dermatológico;Almipro;UND;Bodega Principal;31500;37000;0;EXCLUIDO;3;1;2;;NO;;;Baño syndet limpiador suave para piel sensible 400ml
650026;Crema Almipro Emoliente Pequeña;;650026;Dermatológico;Almipro;UND;Bodega Principal;16400;20000;0;EXCLUIDO;1;1;2;;NO;;;Crema emoliente hidratante presentación pequeña
798261;Baño Líquido Almipro x 200ml;;798261;Dermatológico;Almipro;UND;Bodega Principal;18000;23000;0;EXCLUIDO;2;1;2;;NO;;;Baño líquido limpiador para piel delicada 200ml
318293;Baño Líquido Cabeza a los Pies;;318293;Cuidado Bebé;Johnson's;UND;Bodega Principal;22000;25000;0;EXCLUIDO;2;1;2;;NO;;;Baño líquido de la cabeza a los pies no más lágrimas
088835;Crema No 4 Original x 20g;;088835;Dermatológico;Crema No 4;UND;Bodega Principal;9300;12000;0;EXCLUIDO;2;1;2;;NO;;;Crema antipañalitis medicada original 20g
490159;Shampoo Arrurrú Delicada Nutrición;;490159;Cuidado Bebé;Arrurrú;UND;Bodega Principal;23900;28000;0;EXCLUIDO;1;1;2;;NO;;;Shampoo con extractos naturales y nutrientes
00114-YOK;Copitos Yoky x 100 Biodegradables;;00114 YOK;Aseo Bebé;Yoky;UND;Bodega Principal;3500;6000;0;EXCLUIDO;1;1;2;;NO;;;Copitos de algodón con aplicador biodegradable x 100
964371-YO;Copitos Yoky x 60 Biodegradables;;964371 YO;Aseo Bebé;Yoky;UND;Bodega Principal;3200;4500;0;EXCLUIDO;1;1;2;;NO;;;Copitos de algodón con aplicador biodegradable x 60
1029-ABBA;Colchoneta Camping Abba;;1029 ABBA;Accesorios Bebé;Abba;UND;Bodega Principal;35600;48000;0;EXCLUIDO;2;1;2;;NO;;;Colchoneta acolchada plegable para camping de bebé
060884;Toalla para Bebé x 3;;060884;Lencería Bebé;Genérica;PQTE;Bodega Principal;32000;45000;0;EXCLUIDO;1;1;2;;NO;;;Paquete de toallas suaves para baño de bebé x 3
COCA-LACT;Copa Recolectora Lacti Baby;;COCA LACT;Lactancia;Lacti Baby;UND;Bodega Principal;3500;5000;0;EXCLUIDO;2;1;2;;NO;;;Copa recolectora de leche materna lavable
